Product,Product URL,Vendor,Vendor URL,Price in AUD,Category,Quantity,Date Time Recorded
Fibonacci Indicator,http://jcnhui6sgumsawtd.onion/product/9b95a6a0-d952-11ea-88e1-03be2d8d29e3,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Efficiency Indicator,http://jcnhui6sgumsawtd.onion/product/8219e260-d952-11ea-a87b-b3ed8940d827,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Correlation Indicator,http://jcnhui6sgumsawtd.onion/product/664c2820-d952-11ea-886f-2f1d490cc334,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Chart Overlay Indicator,http://jcnhui6sgumsawtd.onion/product/4bdc2170-d952-11ea-b96e-93cd0fa1a769,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Channel Indicator,http://jcnhui6sgumsawtd.onion/product/3110d0c0-d952-11ea-85f7-2f3ad3286ac5,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Bollinger Trend Indicator,http://jcnhui6sgumsawtd.onion/product/15ca3a00-d952-11ea-b0d2-8532f0da5b7a,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Binary Options Indicator,http://jcnhui6sgumsawtd.onion/product/f9769d20-d951-11ea-8d8a-f94bc6c3cdd7,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Absolute Gains Indicator,http://jcnhui6sgumsawtd.onion/product/db034350-d951-11ea-8d64-6da930e1ab03,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
ABCD Retraceme Indicator,http://jcnhui6sgumsawtd.onion/product/bf3ccf10-d951-11ea-a48f-ef7586e6e896,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,5.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Trading Bot - Trade Pad EA,http://jcnhui6sgumsawtd.onion/product/46929da0-d951-11ea-97c7-df3702899058,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,10.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Trading Bot - Time Trader EA,http://jcnhui6sgumsawtd.onion/product/279be700-d951-11ea-839e-b51ad79e7658,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,10.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Trading Bot - The Zone EA,http://jcnhui6sgumsawtd.onion/product/0a6de240-d951-11ea-83f9-cd32961eaa4a,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,10.0,Software,100000.0,Thu Sep 17 14:55:45 2020
Trading Bot - Super Trend EA,http://jcnhui6sgumsawtd.onion/product/ef96c050-d950-11ea-b9ef-071fd91da8f5,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,10.0,Software,100000.0,Thu Sep 17 14:55:45 2020
List Of 200 Must have Working Darknet Links,http://jcnhui6sgumsawtd.onion/product/31c8a320-532a-11ea-b240-c91697fd20c8,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Kama Sutra Sex Guide In English With Pictures,http://jcnhui6sgumsawtd.onion/product/fb8f1ca0-5329-11ea-916d-9f84f36c0d70,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Infinite Amazon Money Method - Full Guide to Scam,http://jcnhui6sgumsawtd.onion/product/bdc469e0-5329-11ea-b48e-8d152a8d15f8,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
How To Make Emergency Gas Mask - Full Guide,http://jcnhui6sgumsawtd.onion/product/30eb6f50-5329-11ea-b0cf-472a71a03d34,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Hidden Street Weapons - Use Items as Weapons,http://jcnhui6sgumsawtd.onion/product/0a183e00-5329-11ea-8a19-776e9875b5b2,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Extract DXM From Cough Syrups and Gelcaps,http://jcnhui6sgumsawtd.onion/product/c0d40310-5328-11ea-b391-01f1a054d13b,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Drugs Chemical Cheat Sheet Easy Sources To Obtain,http://jcnhui6sgumsawtd.onion/product/9167fe40-5328-11ea-bbde-a90e10444550,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Dragon Rouge Magical Course 1 & 2 - Summon Spirits,http://jcnhui6sgumsawtd.onion/product/5b352cf0-5328-11ea-b45a-a9c0bfcc781c,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,9.0,Thu Sep 17 14:55:45 2020
Complete Guide to Shoplifting,http://jcnhui6sgumsawtd.onion/product/30c0f630-5328-11ea-976d-79d7f5838106,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Complete Guide to Natural Cure of Diseases,http://jcnhui6sgumsawtd.onion/product/0367ac00-5328-11ea-ac6e-1328ffa2a8a8,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Amazon Refund Scam - Complete Amazon Refund Guide,http://jcnhui6sgumsawtd.onion/product/d9621d50-5327-11ea-bf10-3308b3e9636d,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
21 Techniques Of Silent Killing - Silent Assassin,http://jcnhui6sgumsawtd.onion/product/b16bc010-5327-11ea-8bd8-e957ca9eb588,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,9.0,Thu Sep 17 14:55:45 2020
100 Ways to Disappear and Live Free,http://jcnhui6sgumsawtd.onion/product/845ac470-5327-11ea-a2fb-a1a09b04dcdb,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
US Marine Corps Survival Bible - Complete Set,http://jcnhui6sgumsawtd.onion/product/810ac0a0-5326-11ea-9996-4dce7aa0c15e,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,6.2,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Narcos CookBook Complete Guide on Making Any Drug,http://jcnhui6sgumsawtd.onion/product/4ff43960-5326-11ea-918b-37e8f0d89c63,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,6.0,Thu Sep 17 14:55:45 2020
Instructables Book Set - Full set of 136 DIY Books,http://jcnhui6sgumsawtd.onion/product/238e8c30-5326-11ea-89b9-f594beb002bd,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Construction & Operation Of Home Drug Labs Guide,http://jcnhui6sgumsawtd.onion/product/9f66b2d0-5325-11ea-95ba-9d7fd9980490,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Anarchist Cookbook - 219 Recipes for Disaster,http://jcnhui6sgumsawtd.onion/product/5829bbf0-5325-11ea-8145-6102ed6eba76,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Cocaine Synthesis - Complete Guide To Make Cocaine,http://jcnhui6sgumsawtd.onion/product/4e4221d0-531f-11ea-b2f8-f33f4b2e10d9,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,2.5,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Unlimited Stealth Paypal Account And Cashout Guide,http://jcnhui6sgumsawtd.onion/product/251cbb00-531f-11ea-9ffb-e10a3839acc9,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,9.0,Thu Sep 17 14:55:45 2020
Ultimate Paypal Cashout Guide - Multiple Methods,http://jcnhui6sgumsawtd.onion/product/f2e20730-531e-11ea-bb48-9b49cb35c139,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,8.0,Thu Sep 17 14:55:45 2020
Ultimate Drop Methods for Carding,http://jcnhui6sgumsawtd.onion/product/bb307480-531e-11ea-98aa-7f620058bd9c,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,9.0,Thu Sep 17 14:55:45 2020
The Ultimate Mobile Carding Setup Guide,http://jcnhui6sgumsawtd.onion/product/8f0bb9a0-531e-11ea-9696-6f455b534d10,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,3.7,Guides & Tutorials,10.0,Thu Sep 17 14:55:45 2020
Diamond Hack Pack 268 Guides On Carding And Scam,http://jcnhui6sgumsawtd.onion/product/01d02e00-531e-11ea-9fcc-afb76e2d64d2,HotShop,http://jcnhui6sgumsawtd.onion/vendor/869f44b0-4b07-11ea-a9c2-a5a23de24be7,9.9,Guides & Tutorials,9.0,Thu Sep 17 14:55:45 2020
Wifi password auto hack soft with tutorial- works!,http://jcnhui6sgumsawtd.onion/product/88fb9b30-bab0-11ea-aefc-610daaed61b6,g3cko,http://jcnhui6sgumsawtd.onion/vendor/91c6a710-4b7b-11ea-8045-9176fc4742a2,1.98,Software & Malware,100000.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - Maya - 50 Commands,http://jcnhui6sgumsawtd.onion/product/753b8d60-b9f2-11ea-a331-65038d713077,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,9.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - Maya V2 - 50 Commands,http://jcnhui6sgumsawtd.onion/product/55cc2150-b9f2-11ea-98e0-a9ae8aff0adc,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,8.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - Eleonora - 50 Commands,http://jcnhui6sgumsawtd.onion/product/233b8180-b9f2-11ea-bf0c-7306c3216411,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,14.0,Thu Sep 17 14:55:45 2020
INTANT WESTERN UNION AND MONEY GRAM TRANSFER WITH MTCN CONTROL NUMBER($6000),http://jcnhui6sgumsawtd.onion/product/b9d108d0-abc1-11ea-9813-e98d6712c662,mytrade15,http://jcnhui6sgumsawtd.onion/vendor/45f78fd0-a65f-11ea-8bfc-11a1021c9345,600.0,Digital Goods,1.0,Thu Sep 17 14:55:45 2020
INTANT WESTERN UNION AND MONEY GRAM TRANSFER WITH MTCN CONTROL NUMBER($5000),http://jcnhui6sgumsawtd.onion/product/351a9570-abc1-11ea-9512-09e14f481c39,mytrade15,http://jcnhui6sgumsawtd.onion/vendor/45f78fd0-a65f-11ea-8bfc-11a1021c9345,500.0,Digital Goods,1.0,Thu Sep 17 14:55:45 2020
Buy a Pint of High-Tech Online,http://jcnhui6sgumsawtd.onion/product/75b8c440-ab6c-11ea-9911-318bf2858081,oxyman,http://jcnhui6sgumsawtd.onion/vendor/097bea90-ab54-11ea-8db5-5d18f8eecdfa,400.0,Software & Malware,5000.0,Thu Sep 17 14:55:45 2020
Buy Phamaceutical Adderall 30mg,http://jcnhui6sgumsawtd.onion/product/ff705340-ab6a-11ea-a960-7de2b81e4260,oxyman,http://jcnhui6sgumsawtd.onion/vendor/097bea90-ab54-11ea-8db5-5d18f8eecdfa,10.0,Software & Malware,500000.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 50 Commands,http://jcnhui6sgumsawtd.onion/product/6f20bce0-ab2a-11ea-9f7d-7f0a6d85466c,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,6.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 29 Commands,http://jcnhui6sgumsawtd.onion/product/54009a60-ab2a-11ea-952e-b96a830e640b,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,10.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 48 Commands,http://jcnhui6sgumsawtd.onion/product/37fcd630-ab2a-11ea-a166-9906ace44bf3,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,8.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 38 Commands,http://jcnhui6sgumsawtd.onion/product/1fd2e6a0-ab2a-11ea-842f-4da37f2bebde,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,11.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 8 Packages in 1,http://jcnhui6sgumsawtd.onion/product/03ed6040-ab2a-11ea-b326-cf3edaaba0de,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,9.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 33 Commands,http://jcnhui6sgumsawtd.onion/product/ebdd8d00-ab29-11ea-8447-d394fde97c42,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,11.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 20 Commands,http://jcnhui6sgumsawtd.onion/product/d60b8720-ab29-11ea-8552-2775841baaab,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,9.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 9 Commands,http://jcnhui6sgumsawtd.onion/product/bd048940-ab29-11ea-b4c6-cb13618afe43,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,12.0,Thu Sep 17 14:55:45 2020
VCW - Virtual Cam Whore - 16 Commands,http://jcnhui6sgumsawtd.onion/product/a04da900-ab29-11ea-8b92-778d637dd14d,Justporn,http://jcnhui6sgumsawtd.onion/vendor/3887f440-8897-11ea-8649-7d25f956d60c,2.0,Software,11.0,Thu Sep 17 14:55:45 2020
